Rk,Player,Position,Age,Team,Games,Minutes played per game,Field Goal Percentage,Points per game
159,Jawun Evans,PG,22,PHO,7,9.1,0.231,0.9
159,Jawun Evans,PG,22,OKC,1,1,0,0
162,Kenneth Faried,C,29,BRK,12,9.8,0.595,5.1
162,Kenneth Faried,C,29,HOU,25,24.4,0.587,12.9
173,Tim Frazier,PG,28,NOP,47,19.3,0.451,5
173,Tim Frazier,PG,28,MIL,12,17.6,0.424,6.3
180,Marc Gasol,C,34,MEM,53,33.7,0.444,15.7
180,Marc Gasol,C,34,TOR,26,24.9,0.465,9.1
181,Pau Gasol,C,38,SAS,27,12.2,0.466,4.2
181,Pau Gasol,C,38,MIL,3,10,0.167,1.3
200,JaMychal Green,PF,28,MEM,41,22,0.484,9.8
200,JaMychal Green,PF,28,LAC,24,19.6,0.482,8.7
205,Tim Hardaway Jr.,SG,26,NYK,46,32.6,0.388,19.1
205,Tim Hardaway Jr.,SG,26,DAL,19,29.4,0.404,15.5
212,Tobias Harris,PF,26,LAC,55,34.6,0.496,20.9
212,Tobias Harris,PF,26,PHI,27,35,0.469,18.2
213,Andrew Harrison,PG,24,MEM,1,5,0.5,2
213,Andrew Harrison,PG,24,CLE,10,14.4,0.308,4.3
213,Andrew Harrison,PG,24,NOP,6,6.3,0.25,1.5
227,George Hill,PG,32,CLE,13,26.5,0.514,10.8
227,George Hill,PG,32,MIL,47,20.4,0.428,6.8
231,Justin Holiday,SG,29,CHI,38,34.9,0.383,11.6
231,Justin Holiday,SG,29,MEM,44,29.1,0.389,9.5
235,Rodney Hood,SG,26,CLE,45,27.4,0.427,12.2
235,Rodney Hood,SG,26,POR,27,24.4,0.452,9.6
256,Justin Jackson,SF,23,SAC,52,20.8,0.424,6.7
256,Justin Jackson,SF,23,DAL,29,18.3,0.484,8.2
260,John Jenkins,SG,27,WAS,4,3.5,1,1.5
260,John Jenkins,SG,27,NYK,22,14.5,0.388,5.2
264,B.J. Johnson,SF,23,ATL,6,7.2,0.5,3.5
264,B.J. Johnson,SF,23,SAC,1,6,0.5,2
266,Stanley Johnson,SF,22,DET,48,20,0.381,7.5
266,Stanley Johnson,SF,22,NOP,18,13.7,0.418,5.3
267,Tyler Johnson,PG,26,MIA,44,25.5,0.426,10.8
267,Tyler Johnson,PG,26,PHO,13,31.2,0.368,11.1
